res, i, j
1, 59, 55
2, 70, 64
3, 90, 42
4, 91, 7
5, 83, 3
6, 29, 32
7, 63, 25
8, 82, 38
9, 60, 19
10, 38, 117
11, 112, 66
12, 17, 94
13, 80, 113
14, 33, 38
15, 64, 25
16, 109, 33
17, 54, 97
18, 103, 102
19, 74, 75
20, 120, 42
21, 67, 36
22, 12, 100
23, 86, 49
24, 59, 32
25, 79, 10
26, 70, 41
27, 16, 70
28, 89, 54
29, 99, 104
30, 70, 77
31, 83, 16
32, 82, 51
33, 92, 101
34, 22, 5
35, 120, 19
36, 45, 25
37, 37, 21
38, 78, 22
39, 13, 78
40, 59, 45
41, 65, 88
42, 70, 54
43, 16, 83
44, 71, 19
45, 82, 28
46, 47, 70
47, 88, 108
48, 101, 41
49, 75, 25
50, 80, 103
51, 93, 42
52, 97, 12
53, 109, 23
54, 54, 87
55, 74, 65
56, 120, 32
57, 66, 61
58, 20, 94
59, 70, 31
60, 55, 51
61, 48, 12
62, 99, 94
63, 46, 88
64, 92, 55
65, 81, 45
66, 93, 19
67, 54, 64
68, 73, 77
69, 74, 42
70, 86, 16
71, 37, 11
72, 78, 12
73, 35, 50
74, 13, 68
75, 100, 36
76, 72, 117
77, 70, 44
78, 90, 22
79, 82, 18
80, 68, 83
81, 40, 21
82, 46, 101
83, 26, 122
84, 74, 19
85, 93, 32
86, 30, 92
87, 31, 57
88, 97, 2
89, 66, 51
90, 86, 29
91, 44, 112
92, 78, 25
93, 118, 61
94, 99, 48
95, 46, 78
96, 29, 25
97, 73, 31
98, 93, 9
99, 102, 94
100, 31, 70
101, 97, 15
102, 35, 40
103, 59, 25
104, 100, 26
105, 92, 58
106, 6, 18
107, 81, 48
108, 62, 35
109, 84, 59
110, 43, 21
111, 87, 64
112, 17, 5
113, 68, 50
114, 86, 104
115, 98, 78
116, 62, 12
117, 81, 25
118, 19, 50
119, 90, 110
120, 84, 36
121, 41, 74
122, 87, 41
123, 52, 83
124, 105, 95
125, 84, 72
126, 88, 42
127, 107, 55
128, 120, 74
129, 100, 16
130, 58, 19
131, 76, 67
132, 14, 92
133, 30, 36
134, 63, 70
135, 62, 25
136, 54, 21
137, 75, 80
138, 105, 108
139, 64, 70
140, 56, 66
141, 68, 40
142, 67, 81
143, 86, 94
144, 59, 77
145, 90, 64
146, 36, 93
147, 20, 5
148, 125, 58
149, 112, 88
150, 63, 83
151, 102, 74
152, 87, 31
153, 60, 77
154, 24, 11
155, 117, 59
156, 74, 97
157, 45, 70
158, 86, 71
159, 37, 66
160, 80, 27
161, 67, 94
162, 78, 103
163, 119, 104
164, 91, 42
165, 84, 3
166, 52, 50
167, 112, 101
168, 42, 122
169, 96, 13
170, 73, 109
171, 74, 74
172, 65, 25
173, 78, 80
174, 70, 76
175, 43, 122
176, 98, 58
177, 36, 83
178, 60, 31
179, 71, 77
180, 112, 78
181, 84, 16
182, 75, 47
183, 103, 29
184, 95, 25
185, 45, 24
186, 104, 110
187, 22, 40
188, 68, 7
189, 128, 58
190, 12, 112
191, 13, 77
192, 79, 22
193, 90, 31
194, 110, 9
195, 88, 107
196, 19, 7
197, 103, 6
198, 122, 19
199, 40, 66
200, 60, 44
201, 52, 40
202, 112, 91
203, 42, 112
204, 128, 35
205, 73, 99
206, 120, 31
207, 98, 12
